id,exercise_name,category,equipment,difficulty,target_muscle,calories_per_min,injury_risk_factor
25,Machine Squat Variation 25,Endurance,Machine,Beginner,Chest,10.26,0.565
26,Machine Lat Pulldown Variation 26,Power,Machine,Elite,Shoulders,8.26,0.508
27,Bands Pull-up Variation 27,Core,Bands,Intermediate,Back,11.78,0.447
28,Barbell Leg Press Variation 28,Power,Barbell,Beginner,Arms,4.42,0.651
29,Bodyweight Lunge Variation 29,Power,Bodyweight,Beginner,Arms,11.79,0.271
30,Kettlebell Lat Pulldown Variation 30,Endurance,Kettlebell,Intermediate,Core,8.66,0.831
31,Dumbbell Dumbbell Curl Variation 31,Rehab,Dumbbell,Elite,Shoulders,6.75,0.865
32,Bands Cable Fly Variation 32,Hypertrophy,Bands,Elite,Back,8.88,0.668
33,Bands Dumbbell Curl Variation 33,Hypertrophy,Bands,Advanced,Arms,4.88,0.795
34,Bands Deadlift Variation 34,Core,Bands,Advanced,Chest,3.75,0.447
35,Kettlebell Plank Variation 35,Core,Kettlebell,Elite,Shoulders,6.10,0.577
36,Bands Calf Raise Variation 36,Core,Bands,Advanced,Back,5.15,0.621
37,Barbell Tricep Extension Variation 37,Core,Barbell,Intermediate,Arms,7.53,0.100
38,Dumbbell Pull-up Variation 38,Rehab,Dumbbell,Intermediate,Back,7.43,0.344
39,Dumbbell Crunch Variation 39,Endurance,Dumbbell,Elite,Chest,8.17,0.384
40,Bodyweight Calf Raise Variation 40,Rehab,Bodyweight,Beginner,Core,7.79,0.348
41,Machine Dumbbell Curl Variation 41,Core,Machine,Intermediate,Core,5.50,0.518
42,Machine Plank Variation 42,Rehab,Machine,Beginner,Full Body,7.97,0.759
43,Bands Crunch Variation 43,Power,Bands,Advanced,Arms,3.02,0.566
44,Dumbbell Lunge Variation 44,Hypertrophy,Dumbbell,Elite,Chest,10.15,0.737
45,Cable Crunch Variation 45,Hypertrophy,Cable,Advanced,Legs,10.49,0.711
46,Cable Lat Pulldown Variation 46,Rehab,Cable,Elite,Full Body,5.06,0.652
47,Machine Lat Pulldown Variation 47,Endurance,Machine,Intermediate,Chest,4.70,0.271
48,Cable Crunch Variation 48,Power,Cable,Intermediate,Shoulders,9.25,0.623
49,Dumbbell Lunge Variation 49,Endurance,Dumbbell,Beginner,Full Body,8.65,0.737
50,Machine Leg Press Variation 50,Endurance,Machine,Beginner,Back,5.74,0.628
51,Barbell Plank Variation 51,Rehab,Barbell,Advanced,Full Body,10.54,0.191
52,Kettlebell Overhead Press Variation 52,Rehab,Kettlebell,Beginner,Core,7.25,0.444
53,Bands Crunch Variation 53,Rehab,Bands,Advanced,Chest,4.97,0.134
54,Kettlebell Bench Press Variation 54,Endurance,Kettlebell,Advanced,Back,7.37,0.832
55,Bodyweight Barbell Row Variation 55,Core,Bodyweight,Intermediate,Arms,11.83,0.554
56,Machine Tricep Extension Variation 56,Strength,Machine,Intermediate,Core,8.81,0.304
57,Bands Crunch Variation 57,Power,Bands,Intermediate,Shoulders,7.33,0.842
58,Kettlebell Dumbbell Curl Variation 58,Hypertrophy,Kettlebell,Intermediate,Chest,5.05,0.252
59,Cable Barbell Row Variation 59,Rehab,Cable,Advanced,Back,9.93,0.180
60,Dumbbell Lat Pulldown Variation 60,Core,Dumbbell,Advanced,Chest,3.25,0.850
61,Barbell Overhead Press Variation 61,Core,Barbell,Beginner,Arms,6.21,0.680
62,Bands Crunch Variation 62,Hypertrophy,Bands,Beginner,Chest,10.33,0.764
63,Bands Squat Variation 63,Power,Bands,Elite,Back,6.83,0.717
64,Barbell Deadlift Variation 64,Rehab,Barbell,Intermediate,Full Body,7.89,0.662
65,Cable Lunge Variation 65,Power,Cable,Beginner,Shoulders,3.48,0.499
66,Bodyweight Bench Press Variation 66,Core,Bodyweight,Advanced,Full Body,3.07,0.874
67,Dumbbell Lunge Variation 67,Strength,Dumbbell,Intermediate,Core,6.56,0.747
68,Machine Crunch Variation 68,Hypertrophy,Machine,Beginner,Full Body,11.41,0.638
69,Bands Bench Press Variation 69,Rehab,Bands,Elite,Chest,9.10,0.845
70,Bands Lat Pulldown Variation 70,Endurance,Bands,Advanced,Full Body,6.07,0.144
71,Bodyweight Cable Fly Variation 71,Power,Bodyweight,Beginner,Full Body,5.17,0.599
72,Barbell Tricep Extension Variation 72,Hypertrophy,Barbell,Advanced,Back,6.36,0.900
73,Machine Pull-up Variation 73,Rehab,Machine,Elite,Legs,11.81,0.500
74,Dumbbell Tricep Extension Variation 74,Power,Dumbbell,Intermediate,Shoulders,6.44,0.321
75,Bands Cable Fly Variation 75,Endurance,Bands,Elite,Legs,11.44,0.267
76,Bands Crunch Variation 76,Endurance,Bands,Intermediate,Core,8.62,0.850
77,Barbell Squat Variation 77,Endurance,Barbell,Elite,Chest,3.41,0.829
78,Cable Plank Variation 78,Core,Cable,Beginner,Back,10.22,0.555
79,Dumbbell Deadlift Variation 79,Endurance,Dumbbell,Elite,Core,4.59,0.444
80,Bodyweight Lat Pulldown Variation 80,Rehab,Bodyweight,Beginner,Shoulders,9.92,0.346
81,Kettlebell Plank Variation 81,Rehab,Kettlebell,Elite,Shoulders,5.41,0.232
82,Machine Dumbbell Curl Variation 82,Hypertrophy,Machine,Intermediate,Arms,4.80,0.870
83,Bands Cable Fly Variation 83,Rehab,Bands,Elite,Arms,3.92,0.147
84,Dumbbell Crunch Variation 84,Strength,Dumbbell,Elite,Legs,5.69,0.755
85,Dumbbell Pull-up Variation 85,Core,Dumbbell,Intermediate,Arms,6.97,0.860
86,Bands Lat Pulldown Variation 86,Endurance,Bands,Intermediate,Legs,9.79,0.249
87,Machine Deadlift Variation 87,Strength,Machine,Elite,Legs,9.77,0.810
88,Bodyweight Plank Variation 88,Endurance,Bodyweight,Elite,Arms,7.51,0.183
89,Dumbbell Squat Variation 89,Hypertrophy,Dumbbell,Intermediate,Full Body,9.94,0.137
90,Kettlebell Bench Press Variation 90,Strength,Kettlebell,Elite,Legs,3.07,0.676
91,Bands Bench Press Variation 91,Strength,Bands,Beginner,Legs,11.11,0.161
92,Dumbbell Overhead Press Variation 92,Power,Dumbbell,Intermediate,Full Body,4.45,0.196
93,Machine Crunch Variation 93,Power,Machine,Beginner,Shoulders,10.21,0.692
94,Bodyweight Dumbbell Curl Variation 94,Power,Bodyweight,Intermediate,Legs,8.91,0.291
95,Kettlebell Lat Pulldown Variation 95,Core,Kettlebell,Advanced,Arms,8.77,0.883
96,Barbell Crunch Variation 96,Core,Barbell,Advanced,Back,10.01,0.287
97,Bands Tricep Extension Variation 97,Rehab,Bands,Intermediate,Core,4.17,0.507
98,Cable Cable Fly Variation 98,Hypertrophy,Cable,Beginner,Full Body,7.22,0.627
99,Dumbbell Leg Press Variation 99,Hypertrophy,Dumbbell,Beginner,Chest,4.35,0.410
100,Cable Dumbbell Curl Variation 100,Strength,Cable,Elite,Shoulders,8.66,0.504
101,Cable Leg Press Variation 101,Core,Cable,Advanced,Back,3.10,0.848
102,Cable Tricep Extension Variation 102,Power,Cable,Elite,Chest,4.47,0.380
103,Cable Cable Fly Variation 103,Rehab,Cable,Beginner,Shoulders,6.26,0.522
104,Barbell Bench Press Variation 104,Power,Barbell,Elite,Shoulders,10.36,0.619
105,Bodyweight Bench Press Variation 105,Power,Bodyweight,Beginner,Arms,4.05,0.669
106,Dumbbell Dumbbell Curl Variation 106,Endurance,Dumbbell,Advanced,Arms,10.30,0.645
107,Machine Crunch Variation 107,Power,Machine,Beginner,Shoulders,3.09,0.828
108,Kettlebell Lunge Variation 108,Hypertrophy,Kettlebell,Beginner,Arms,8.55,0.493
109,Bands Dumbbell Curl Variation 109,Hypertrophy,Bands,Advanced,Legs,9.74,0.600
110,Machine Squat Variation 110,Hypertrophy,Machine,Intermediate,Core,8.65,0.170
111,Bands Lat Pulldown Variation 111,Hypertrophy,Bands,Advanced,Core,4.68,0.164
112,Bodyweight Bench Press Variation 112,Hypertrophy,Bodyweight,Beginner,Back,7.06,0.634
113,Kettlebell Plank Variation 113,Rehab,Kettlebell,Advanced,Back,3.73,0.277
114,Bands Crunch Variation 114,Power,Bands,Elite,Back,4.97,0.793
115,Kettlebell Dumbbell Curl Variation 115,Core,Kettlebell,Elite,Legs,4.67,0.794
116,Bands Dumbbell Curl Variation 116,Rehab,Bands,Intermediate,Legs,4.86,0.701
117,Barbell Deadlift Variation 117,Endurance,Barbell,Beginner,Back,8.87,0.447
118,Bands Dumbbell Curl Variation 118,Core,Bands,Advanced,Back,3.43,0.792
119,Kettlebell Overhead Press Variation 119,Core,Kettlebell,Elite,Core,7.52,0.307
120,Barbell Crunch Variation 120,Endurance,Barbell,Beginner,Chest,10.27,0.451
121,Machine Deadlift Variation 121,Endurance,Machine,Advanced,Chest,9.67,0.583
122,Bands Lat Pulldown Variation 122,Strength,Bands,Advanced,Back,10.45,0.405
123,Machine Deadlift Variation 123,Core,Machine,Advanced,Core,3.86,0.795
124,Dumbbell Lunge Variation 124,Hypertrophy,Dumbbell,Elite,Shoulders,5.69,0.455
125,Cable Tricep Extension Variation 125,Rehab,Cable,Intermediate,Back,7.19,0.361
126,Cable Squat Variation 126,Rehab,Cable,Intermediate,Back,10.69,0.467
127,Kettlebell Overhead Press Variation 127,Endurance,Kettlebell,Beginner,Shoulders,11.32,0.562
128,Cable Deadlift Variation 128,Core,Cable,Intermediate,Legs,3.28,0.185
129,Kettlebell Deadlift Variation 129,Rehab,Kettlebell,Advanced,Full Body,10.58,0.554
130,Machine Crunch Variation 130,Rehab,Machine,Intermediate,Shoulders,3.16,0.311
131,Cable Bench Press Variation 131,Power,Cable,Advanced,Full Body,4.51,0.435
132,Kettlebell Squat Variation 132,Strength,Kettlebell,Beginner,Chest,3.00,0.383
133,Cable Cable Fly Variation 133,Endurance,Cable,Advanced,Back,4.11,0.265
134,Cable Tricep Extension Variation 134,Endurance,Cable,Intermediate,Shoulders,8.64,0.781
135,Bands Squat Variation 135,Hypertrophy,Bands,Beginner,Shoulders,11.67,0.879
136,Bodyweight Cable Fly Variation 136,Hypertrophy,Bodyweight,Intermediate,Full Body,11.25,0.537
137,Kettlebell Calf Raise Variation 137,Power,Kettlebell,Intermediate,Arms,7.64,0.239
138,Bands Dumbbell Curl Variation 138,Core,Bands,Intermediate,Core,3.59,0.157
139,Barbell Overhead Press Variation 139,Power,Barbell,Advanced,Legs,6.34,0.887
140,Bodyweight Bench Press Variation 140,Core,Bodyweight,Beginner,Full Body,5.63,0.300
141,Kettlebell Overhead Press Variation 141,Hypertrophy,Kettlebell,Beginner,Shoulders,7.27,0.424
142,Cable Deadlift Variation 142,Strength,Cable,Elite,Arms,4.24,0.578
143,Cable Lat Pulldown Variation 143,Hypertrophy,Cable,Elite,Arms,9.46,0.735
144,Dumbbell Leg Press Variation 144,Hypertrophy,Dumbbell,Intermediate,Chest,3.34,0.743
145,Dumbbell Lunge Variation 145,Strength,Dumbbell,Intermediate,Full Body,5.55,0.891
146,Bands Barbell Row Variation 146,Core,Bands,Intermediate,Arms,6.64,0.565
147,Dumbbell Calf Raise Variation 147,Power,Dumbbell,Intermediate,Back,5.80,0.502
148,Barbell Calf Raise Variation 148,Endurance,Barbell,Beginner,Chest,7.64,0.596
149,Bands Squat Variation 149,Hypertrophy,Bands,Elite,Full Body,11.80,0.305
150,Bodyweight Deadlift Variation 150,Strength,Bodyweight,Intermediate,Full Body,4.49,0.172
151,Barbell Cable Fly Variation 151,Strength,Barbell,Advanced,Back,11.00,0.363
152,Barbell Deadlift Variation 152,Hypertrophy,Barbell,Intermediate,Arms,9.57,0.800
153,Cable Plank Variation 153,Hypertrophy,Cable,Advanced,Arms,10.27,0.295
154,Bands Deadlift Variation 154,Power,Bands,Beginner,Chest,5.29,0.742
155,Bands Crunch Variation 155,Hypertrophy,Bands,Beginner,Core,3.71,0.162
156,Cable Plank Variation 156,Rehab,Cable,Elite,Full Body,11.05,0.697
157,Dumbbell Lat Pulldown Variation 157,Rehab,Dumbbell,Elite,Core,4.63,0.355
158,Kettlebell Lat Pulldown Variation 158,Endurance,Kettlebell,Intermediate,Back,8.19,0.477
159,Bands Barbell Row Variation 159,Power,Bands,Elite,Back,7.46,0.702
160,Kettlebell Tricep Extension Variation 160,Rehab,Kettlebell,Advanced,Full Body,6.34,0.708
161,Machine Tricep Extension Variation 161,Power,Machine,Advanced,Back,11.01,0.705
162,Cable Pull-up Variation 162,Endurance,Cable,Advanced,Full Body,6.90,0.656
163,Bands Bench Press Variation 163,Core,Bands,Elite,Arms,3.52,0.880
164,Kettlebell Plank Variation 164,Hypertrophy,Kettlebell,Intermediate,Chest,4.51,0.142
165,Machine Squat Variation 165,Rehab,Machine,Advanced,Chest,7.63,0.240
166,Dumbbell Squat Variation 166,Power,Dumbbell,Advanced,Arms,6.04,0.623
167,Kettlebell Calf Raise Variation 167,Power,Kettlebell,Beginner,Legs,11.15,0.637
168,Bodyweight Deadlift Variation 168,Core,Bodyweight,Beginner,Chest,9.75,0.636
169,Machine Overhead Press Variation 169,Strength,Machine,Intermediate,Back,7.58,0.180
170,Dumbbell Plank Variation 170,Strength,Dumbbell,Elite,Arms,3.26,0.123
171,Barbell Barbell Row Variation 171,Core,Barbell,Beginner,Chest,4.62,0.397
172,Bands Squat Variation 172,Power,Bands,Advanced,Legs,10.69,0.105
173,Cable Lat Pulldown Variation 173,Rehab,Cable,Elite,Core,7.98,0.335
174,Barbell Crunch Variation 174,Power,Barbell,Intermediate,Shoulders,6.64,0.234
175,Machine Dumbbell Curl Variation 175,Power,Machine,Advanced,Shoulders,3.94,0.380
176,Machine Squat Variation 176,Hypertrophy,Machine,Beginner,Back,7.85,0.825
177,Barbell Overhead Press Variation 177,Rehab,Barbell,Elite,Back,8.85,0.374
178,Bands Barbell Row Variation 178,Hypertrophy,Bands,Advanced,Full Body,9.15,0.261
179,Dumbbell Plank Variation 179,Rehab,Dumbbell,Elite,Legs,6.99,0.472
180,Kettlebell Pull-up Variation 180,Endurance,Kettlebell,Elite,Chest,9.98,0.398
181,Bodyweight Plank Variation 181,Rehab,Bodyweight,Beginner,Full Body,8.18,0.460
182,Bands Bench Press Variation 182,Rehab,Bands,Advanced,Chest,10.58,0.225
183,Bodyweight Leg Press Variation 183,Endurance,Bodyweight,Intermediate,Full Body,7.82,0.111
184,Kettlebell Cable Fly Variation 184,Power,Kettlebell,Advanced,Back,7.13,0.526
185,Barbell Bench Press Variation 185,Hypertrophy,Barbell,Intermediate,Shoulders,4.22,0.670
186,Kettlebell Pull-up Variation 186,Core,Kettlebell,Beginner,Full Body,11.96,0.602
187,Kettlebell Tricep Extension Variation 187,Strength,Kettlebell,Elite,Shoulders,10.35,0.547
188,Bands Squat Variation 188,Core,Bands,Advanced,Shoulders,7.96,0.729
189,Bands Cable Fly Variation 189,Rehab,Bands,Intermediate,Shoulders,11.60,0.602
190,Bodyweight Squat Variation 190,Strength,Bodyweight,Elite,Arms,8.58,0.468
191,Bodyweight Barbell Row Variation 191,Hypertrophy,Bodyweight,Beginner,Chest,6.46,0.481
192,Dumbbell Deadlift Variation 192,Hypertrophy,Dumbbell,Advanced,Full Body,8.60,0.737
193,Cable Lunge Variation 193,Core,Cable,Elite,Legs,8.02,0.260
194,Cable Leg Press Variation 194,Core,Cable,Advanced,Full Body,5.32,0.381
195,Barbell Deadlift Variation 195,Rehab,Barbell,Advanced,Shoulders,9.94,0.230
196,Cable Plank Variation 196,Rehab,Cable,Elite,Chest,6.28,0.887
197,Dumbbell Overhead Press Variation 197,Core,Dumbbell,Beginner,Legs,9.31,0.784
198,Machine Lunge Variation 198,Hypertrophy,Machine,Elite,Arms,10.69,0.326
199,Kettlebell Leg Press Variation 199,Endurance,Kettlebell,Beginner,Arms,8.41,0.260
200,Bands Tricep Extension Variation 200,Strength,Bands,Advanced,Shoulders,4.84,0.879
201,Cable Pull-up Variation 201,Strength,Cable,Intermediate,Arms,4.69,0.226
202,Bands Lunge Variation 202,Power,Bands,Advanced,Legs,11.66,0.670
203,Dumbbell Leg Press Variation 203,Core,Dumbbell,Advanced,Legs,7.74,0.328
204,Machine Squat Variation 204,Strength,Machine,Elite,Core,7.92,0.720
205,Dumbbell Crunch Variation 205,Hypertrophy,Dumbbell,Intermediate,Legs,9.41,0.614
206,Barbell Deadlift Variation 206,Endurance,Barbell,Elite,Back,11.71,0.370
207,Cable Bench Press Variation 207,Strength,Cable,Beginner,Arms,5.53,0.532
208,Kettlebell Calf Raise Variation 208,Core,Kettlebell,Intermediate,Arms,10.79,0.820
209,Bodyweight Tricep Extension Variation 209,Strength,Bodyweight,Advanced,Full Body,4.87,0.870
210,Barbell Deadlift Variation 210,Hypertrophy,Barbell,Advanced,Full Body,11.74,0.439
211,Cable Squat Variation 211,Rehab,Cable,Beginner,Chest,4.76,0.490
212,Bands Crunch Variation 212,Core,Bands,Advanced,Chest,9.33,0.775
213,Barbell Tricep Extension Variation 213,Hypertrophy,Barbell,Intermediate,Arms,10.72,0.177
214,Machine Pull-up Variation 214,Hypertrophy,Machine,Beginner,Shoulders,9.74,0.583
215,Kettlebell Squat Variation 215,Strength,Kettlebell,Beginner,Back,10.61,0.544
216,Machine Overhead Press Variation 216,Rehab,Machine,Advanced,Chest,8.80,0.132
217,Barbell Tricep Extension Variation 217,Hypertrophy,Barbell,Beginner,Back,4.68,0.149
218,Machine Plank Variation 218,Core,Machine,Intermediate,Shoulders,11.66,0.347
219,Barbell Barbell Row Variation 219,Core,Barbell,Elite,Arms,8.49,0.439
220,Kettlebell Overhead Press Variation 220,Endurance,Kettlebell,Intermediate,Chest,5.92,0.571
221,Machine Deadlift Variation 221,Power,Machine,Advanced,Chest,10.13,0.752
222,Dumbbell Leg Press Variation 222,Strength,Dumbbell,Elite,Legs,5.29,0.804
223,Kettlebell Pull-up Variation 223,Strength,Kettlebell,Intermediate,Full Body,9.93,0.323
224,Cable Deadlift Variation 224,Hypertrophy,Cable,Beginner,Full Body,10.15,0.574
225,Dumbbell Bench Press Variation 225,Endurance,Dumbbell,Beginner,Legs,10.30,0.163
226,Bodyweight Leg Press Variation 226,Rehab,Bodyweight,Elite,Core,7.08,0.483
227,Dumbbell Plank Variation 227,Core,Dumbbell,Elite,Core,6.59,0.560
228,Machine Crunch Variation 228,Power,Machine,Advanced,Legs,8.74,0.645
229,Dumbbell Cable Fly Variation 229,Strength,Dumbbell,Intermediate,Chest,7.33,0.184
230,Barbell Crunch Variation 230,Power,Barbell,Beginner,Full Body,4.02,0.773
231,Machine Lunge Variation 231,Endurance,Machine,Elite,Core,10.60,0.420
232,Machine Tricep Extension Variation 232,Power,Machine,Beginner,Back,3.44,0.352
233,Barbell Calf Raise Variation 233,Core,Barbell,Beginner,Legs,9.19,0.851
234,Bodyweight Barbell Row Variation 234,Endurance,Bodyweight,Elite,Chest,3.03,0.792
235,Machine Crunch Variation 235,Hypertrophy,Machine,Elite,Full Body,9.17,0.831
236,Barbell Lunge Variation 236,Strength,Barbell,Beginner,Shoulders,7.93,0.419
237,Barbell Barbell Row Variation 237,Strength,Barbell,Advanced,Chest,8.79,0.505
238,Barbell Overhead Press Variation 238,Strength,Barbell,Intermediate,Arms,10.65,0.852
239,Bands Calf Raise Variation 239,Endurance,Bands,Intermediate,Back,8.51,0.491
240,Bodyweight Cable Fly Variation 240,Rehab,Bodyweight,Advanced,Arms,6.79,0.753
241,Machine Deadlift Variation 241,Hypertrophy,Machine,Advanced,Full Body,11.45,0.674
242,Barbell Lat Pulldown Variation 242,Strength,Barbell,Intermediate,Legs,11.51,0.681
243,Kettlebell Crunch Variation 243,Hypertrophy,Kettlebell,Intermediate,Shoulders,5.77,0.126
244,Bands Barbell Row Variation 244,Hypertrophy,Bands,Intermediate,Core,6.28,0.360
245,Kettlebell Plank Variation 245,Endurance,Kettlebell,Intermediate,Shoulders,3.68,0.179
246,Machine Tricep Extension Variation 246,Strength,Machine,Intermediate,Full Body,6.53,0.595
247,Bodyweight Leg Press Variation 247,Rehab,Bodyweight,Intermediate,Core,4.30,0.185
248,Dumbbell Overhead Press Variation 248,Power,Dumbbell,Advanced,Shoulders,4.16,0.369
249,Barbell Dumbbell Curl Variation 249,Core,Barbell,Advanced,Full Body,8.76,0.884
250,Bodyweight Dumbbell Curl Variation 250,Core,Bodyweight,Beginner,Core,11.02,0.555
251,Kettlebell Plank Variation 251,Endurance,Kettlebell,Elite,Back,9.86,0.130
252,Bodyweight Overhead Press Variation 252,Rehab,Bodyweight,Intermediate,Chest,3.13,0.588
253,Cable Lunge Variation 253,Endurance,Cable,Intermediate,Back,6.72,0.537
254,Bands Leg Press Variation 254,Core,Bands,Intermediate,Chest,11.29,0.629
255,Cable Tricep Extension Variation 255,Core,Cable,Beginner,Arms,9.85,0.682
256,Bodyweight Deadlift Variation 256,Rehab,Bodyweight,Elite,Full Body,3.83,0.726
257,Kettlebell Leg Press Variation 257,Hypertrophy,Kettlebell,Beginner,Shoulders,8.46,0.851
258,Dumbbell Deadlift Variation 258,Strength,Dumbbell,Advanced,Arms,4.74,0.537
259,Machine Dumbbell Curl Variation 259,Rehab,Machine,Advanced,Back,5.77,0.779
260,Machine Dumbbell Curl Variation 260,Endurance,Machine,Intermediate,Shoulders,8.87,0.232
261,Bands Leg Press Variation 261,Hypertrophy,Bands,Advanced,Legs,4.32,0.855
262,Kettlebell Tricep Extension Variation 262,Hypertrophy,Kettlebell,Elite,Chest,3.20,0.579
263,Bodyweight Deadlift Variation 263,Power,Bodyweight,Beginner,Chest,7.72,0.346
264,Kettlebell Plank Variation 264,Hypertrophy,Kettlebell,Elite,Core,4.20,0.327
265,Dumbbell Tricep Extension Variation 265,Endurance,Dumbbell,Beginner,Chest,5.43,0.470
266,Dumbbell Calf Raise Variation 266,Endurance,Dumbbell,Intermediate,Chest,3.31,0.204
267,Bodyweight Crunch Variation 267,Hypertrophy,Bodyweight,Intermediate,Arms,11.15,0.313
268,Cable Leg Press Variation 268,Hypertrophy,Cable,Advanced,Chest,10.82,0.308
269,Barbell Leg Press Variation 269,Power,Barbell,Intermediate,Full Body,8.53,0.267
270,Cable Lat Pulldown Variation 270,Strength,Cable,Beginner,Legs,4.95,0.867
271,Bands Tricep Extension Variation 271,Core,Bands,Advanced,Shoulders,3.92,0.306
272,Machine Overhead Press Variation 272,Rehab,Machine,Intermediate,Core,10.17,0.701
273,Kettlebell Tricep Extension Variation 273,Hypertrophy,Kettlebell,Advanced,Arms,5.05,0.229
274,Kettlebell Cable Fly Variation 274,Hypertrophy,Kettlebell,Beginner,Legs,8.65,0.215
275,Barbell Tricep Extension Variation 275,Endurance,Barbell,Beginner,Full Body,10.39,0.694
276,Bodyweight Overhead Press Variation 276,Rehab,Bodyweight,Beginner,Arms,8.98,0.453
277,Dumbbell Deadlift Variation 277,Strength,Dumbbell,Elite,Legs,8.35,0.116
278,Machine Lat Pulldown Variation 278,Power,Machine,Elite,Core,4.02,0.441
279,Bands Bench Press Variation 279,Rehab,Bands,Beginner,Full Body,4.07,0.618
280,Barbell Overhead Press Variation 280,Hypertrophy,Barbell,Intermediate,Arms,4.89,0.807
281,Dumbbell Barbell Row Variation 281,Power,Dumbbell,Intermediate,Full Body,5.59,0.329
282,Cable Barbell Row Variation 282,Hypertrophy,Cable,Intermediate,Core,8.45,0.652
283,Kettlebell Deadlift Variation 283,Endurance,Kettlebell,Beginner,Chest,3.32,0.542
284,Dumbbell Calf Raise Variation 284,Endurance,Dumbbell,Intermediate,Core,5.46,0.779
285,Cable Lunge Variation 285,Strength,Cable,Advanced,Legs,8.82,0.660
286,Kettlebell Tricep Extension Variation 286,Power,Kettlebell,Advanced,Full Body,8.90,0.117
287,Bands Plank Variation 287,Hypertrophy,Bands,Intermediate,Back,11.80,0.295
288,Bands Pull-up Variation 288,Power,Bands,Intermediate,Legs,3.08,0.326
289,Barbell Dumbbell Curl Variation 289,Strength,Barbell,Elite,Legs,8.81,0.858
290,Cable Barbell Row Variation 290,Power,Cable,Beginner,Core,11.88,0.497
291,Dumbbell Pull-up Variation 291,Rehab,Dumbbell,Advanced,Shoulders,11.38,0.847
292,Bodyweight Tricep Extension Variation 292,Core,Bodyweight,Intermediate,Shoulders,7.15,0.446
293,Barbell Lunge Variation 293,Strength,Barbell,Beginner,Chest,8.33,0.235
294,Bands Barbell Row Variation 294,Power,Bands,Elite,Back,7.18,0.420
295,Kettlebell Bench Press Variation 295,Rehab,Kettlebell,Beginner,Shoulders,10.29,0.500
296,Dumbbell Overhead Press Variation 296,Power,Dumbbell,Advanced,Legs,5.59,0.202
297,Cable Lat Pulldown Variation 297,Endurance,Cable,Beginner,Core,9.41,0.836
298,Bands Deadlift Variation 298,Hypertrophy,Bands,Beginner,Full Body,10.63,0.163
299,Machine Plank Variation 299,Power,Machine,Advanced,Core,4.57,0.497
300,Dumbbell Crunch Variation 300,Hypertrophy,Dumbbell,Elite,Back,5.47,0.314
301,Dumbbell Bench Press Variation 301,Rehab,Dumbbell,Beginner,Shoulders,8.32,0.474
302,Dumbbell Lat Pulldown Variation 302,Rehab,Dumbbell,Advanced,Back,4.97,0.180
303,Cable Deadlift Variation 303,Endurance,Cable,Intermediate,Core,9.63,0.207
304,Bodyweight Tricep Extension Variation 304,Hypertrophy,Bodyweight,Beginner,Core,3.72,0.436
305,Kettlebell Cable Fly Variation 305,Core,Kettlebell,Intermediate,Back,5.01,0.864
306,Bands Crunch Variation 306,Hypertrophy,Bands,Elite,Full Body,10.63,0.872
307,Dumbbell Lunge Variation 307,Hypertrophy,Dumbbell,Elite,Back,7.10,0.847
